university,major,start_year,in_iran,not_in_iran,,,,,
Sharif,Mechanical,2003,852,2189,,,,,
Sharif,Electrical,2003,698,2335,,,,,
Sharif,Chemical Engineering,2003,492,1346,,,,,
Sharif,Civil Engineering,2003,593,1458,,,,,
Sharif,Industrial Engineering,2003,1107,2231,,,,,
Sharif,Mathematics,2003,511,1324,,,,,
Sharif,Computer Engineering,2003,658,3087,,,,,
Sharif,Physics,2003,420,1588,,,,,
Sharif,Computer Science,2003,556,2850,,,,,
Sharif,Materials Engineering,2003,485,1763,,,,,"1,633 Electrical and Electronics Engineering"
Sharif,Chemical Sciences,2003,40,202,,,,,"1,031 Chemical Engineering"
Sharif,Mechanical,2008,1491,2229,,,,,990 Civil Engineering
Sharif,Electrical,2008,1187,2394,,,,,990 Industrial Engineering
Sharif,Chemical Engineering,2008,840,1291,,,,,842 Mathematics
Sharif,Civil Engineering,2008,1233,1658,,,,,798 Computer Engineering
Sharif,Industrial Engineering,2008,1719,2057,,,,,791 Physics
Sharif,Mathematics,2008,1187,1658,,,,,789 Computer Science
Sharif,Computer Engineering,2008,1251,3394,,,,,"637 Business Administration and Management, General"
Sharif,Physics,2008,1018,1780,,,,,522 Computer Software Engineering
Sharif,Computer Science,2008,1138,3263,,,,,518 Materials Engineering
Sharif,Materials Engineering,2008,758,1732,,,,,353 Information Technology
Sharif,Chemical Sciences,2008,563,1193,,,,,349 Materials Sciences
Sharif,Mechanical,2013,1879,1081,,,,,
Sharif,Electrical,2013,1681,1160,,,,,
Sharif,Chemical Engineering,2013,1017,554,,,,,
Sharif,Civil Engineering,2013,1470,797,,,,,
Sharif,Industrial Engineering,2013,1919,882,,,,,
Sharif,Mathematics,2013,2037,1090,,,,,
Sharif,Computer Engineering,2013,1914,1678,,,,,
Sharif,Physics,2013,1599,970,,,,,
Sharif,Computer Science,2013,1621,1620,,,,,
Sharif,Materials Engineering,2013,747,662,,,,,
Sharif,Chemical Sciences,2013,43,79,,,,,
Amirkabir,Mechanical,2003,892,1494,,,,,
Amirkabir,Electrical,2003,660,1267,,,,,
Amirkabir,Chemical Engineering,2003,586,860,,,,,
Amirkabir,Civil Engineering,2003,629,1047,,,,,
Amirkabir,Industrial Engineering,2003,1149,1642,,,,,
Amirkabir,Mathematics,2003,541,768,,,,,
Amirkabir,Computer Engineering,2003,709,1918,,,,,
Amirkabir,Physics,2003,393,823,,,,,
Amirkabir,Computer Science,2003,613,1728,,,,,
Amirkabir,Materials Engineering,2003,593,1426,,,,,
Amirkabir,Chemical Sciences,2003,37,125,,,,,
Amirkabir,Mechanical,2008,1624,1450,,,,,
Amirkabir,Electrical,2008,1374,1371,,,,,
Amirkabir,Chemical Engineering,2008,951,864,,,,,
Amirkabir,Civil Engineering,2008,1333,1107,,,,,
Amirkabir,Industrial Engineering,2008,2171,1688,,,,,
Amirkabir,Mathematics,2008,1265,960,,,,,
Amirkabir,Computer Engineering,2008,1587,2171,,,,,
Amirkabir,Physics,2008,872,893,,,,,
Amirkabir,Computer Science,2008,1372,1975,,,,,
Amirkabir,Materials Engineering,2008,1011,1357,,,,,
Amirkabir,Chemical Sciences,2008,628,743,,,,,
Amirkabir,Mechanical,2013,1797,682,,,,,
Amirkabir,Electrical,2013,1742,678,,,,,
Amirkabir,Chemical Engineering,2013,939,400,,,,,
Amirkabir,Civil Engineering,2013,1538,540,,,,,
Amirkabir,Industrial Engineering,2013,2308,766,,,,,
Amirkabir,Mathematics,2013,1919,593,,,,,
Amirkabir,Computer Engineering,2013,2049,1062,,,,,
Amirkabir,Physics,2013,1217,462,,,,,
Amirkabir,Computer Science,2013,1746,920,,,,,
Amirkabir,Materials Engineering,2013,942,564,,,,,
Amirkabir,Chemical Sciences,2013,536,324,,,,,
Tehran,Mechanical,2003,797,1610,,,,,
Tehran,Electrical,2003,598,1814,,,,,
Tehran,Chemical Engineering,2003,609,1050,,,,,
Tehran,Civil Engineering,2003,1146,1826,,,,,
Tehran,Industrial Engineering,2003,1190,1923,,,,,
Tehran,Mathematics,2003,739,940,,,,,
Tehran,Computer Engineering,2003,808,2402,,,,,
Tehran,Physics,2003,557,1140,,,,,
Tehran,Computer Science,2003,733,2312,,,,,
Tehran,Materials Engineering,2003,547,1757,,,,,
Tehran,Chemical Sciences,2003,442,1007,,,,,
Tehran,Mechanical,2008,797,1610,,,,,
Tehran,Electrical,2008,598,1814,,,,,
Tehran,Chemical Engineering,2008,609,1050,,,,,
Tehran,Civil Engineering,2008,1146,1826,,,,,
Tehran,Industrial Engineering,2008,1190,1923,,,,,
Tehran,Mathematics,2008,739,940,,,,,
Tehran,Computer Engineering,2008,808,2402,,,,,
Tehran,Physics,2008,557,1140,,,,,
Tehran,Computer Science,2008,733,2312,,,,,
Tehran,Materials Engineering,2008,547,1757,,,,,
Tehran,Chemical Sciences,2008,66,249,,,,,
Tehran,Mechanical,2013,1866,1657,,,,,
Tehran,Electrical,2013,1372,1778,,,,,
Tehran,Chemical Engineering,2013,1278,1065,,,,,
Tehran,Civil Engineering,2013,2303,1872,,,,,
Tehran,Industrial Engineering,2013,2811,1999,,,,,
Tehran,Mathematics,2013,1755,1271,,,,,
Tehran,Computer Engineering,2013,1895,2445,,,,,
Tehran,Physics,2013,1303,1328,,,,,
Tehran,Computer Science,2013,1623,2376,,,,,
Tehran,Materials Engineering,2013,1025,1764,,,,,
Tehran,Chemical Sciences,2013,864,1006,,,,,
Beheshti,Mechanical,2003,146,149,,,,,
Beheshti,Electrical,2003,252,395,,,,,
Beheshti,Chemical Engineering,2003,61,103,,,,,
Beheshti,Civil Engineering,2003,244,252,,,,,
Beheshti,Industrial Engineering,2003,365,296,,,,,
Beheshti,Mathematics,2003,346,371,,,,,
Beheshti,Computer Engineering,2003,427,703,,,,,
Beheshti,Physics,2003,234,369,,,,,
Beheshti,Computer Science,2003,401,714,,,,,
Beheshti,Materials Engineering,2003,88,257,,,,,
Beheshti,Chemical Sciences,2003,72,152,,,,,
Beheshti,Mechanical,2008,147,149,,,,,
Beheshti,Electrical,2008,252,395,,,,,
Beheshti,Chemical Engineering,2008,61,103,,,,,
Beheshti,Civil Engineering,2008,244,252,,,,,
Beheshti,Industrial Engineering,2008,365,296,,,,,
Beheshti,Mathematics,2008,346,371,,,,,
Beheshti,Computer Engineering,2008,427,703,,,,,
Beheshti,Physics,2008,234,369,,,,,
Beheshti,Computer Science,2008,401,714,,,,,
Beheshti,Materials Engineering,2008,88,257,,,,,
Beheshti,Chemical Sciences,2008,72,152,,,,,
Beheshti,Mechanical,2013,416,178,,,,,
Beheshti,Electrical,2013,792,454,,,,,
Beheshti,Chemical Engineering,2013,98,109,,,,,
Beheshti,Civil Engineering,2013,679,289,,,,,
Beheshti,Industrial Engineering,2013,686,312,,,,,
Beheshti,Mathematics,2013,812,387,,,,,
Beheshti,Computer Engineering,2013,1037,692,,,,,
Beheshti,Physics,2013,659,392,,,,,
Beheshti,Computer Science,2013,888,702,,,,,
Beheshti,Materials Engineering,2013,136,242,,,,,
Beheshti,Chemical Sciences,2013,103,155,,,,,
Elmos,Mechanical,2003,1054,1200,,,,,
Elmos,Electrical,2003,671,1027,,,,,
Elmos,Chemical Engineering,2003,378,479,,,,,
Elmos,Civil Engineering,2003,815,1074,,,,,
Elmos,Industrial Engineering,2003,1558,1588,,,,,
Elmos,Mathematics,2003,518,561,,,,,
Elmos,Computer Engineering,2003,793,1512,,,,,
Elmos,Physics,2003,283,562,,,,,
Elmos,Computer Science,2003,944,1612,,,,,
Elmos,Materials Engineering,2003,549,1076,,,,,
Elmos,Chemical Sciences,2003,26,86,,,,,
Elmos,Mechanical,2008,1542,925,,,,,
Elmos,Electrical,2008,1080,853,,,,,
Elmos,Chemical Engineering,2008,580,395,,,,,
Elmos,Civil Engineering,2008,1247,814,,,,,
Elmos,Industrial Engineering,2008,2125,1121,,,,,
Elmos,Mathematics,2008,868,565,,,,,
Elmos,Computer Engineering,2008,1248,1270,,,,,
Elmos,Physics,2008,535,490,,,,,
Elmos,Computer Science,2008,1542,1378,,,,,
Elmos,Materials Engineering,2008,796,846,,,,,
Elmos,Chemical Sciences,2008,600,417,,,,,
Elmos,Mechanical,2013,1542,925,,,,,
Elmos,Electrical,2013,1080,853,,,,,
Elmos,Chemical Engineering,2013,580,395,,,,,
Elmos,Civil Engineering,2013,1247,814,,,,,
Elmos,Industrial Engineering,2013,2125,1121,,,,,
Elmos,Mathematics,2013,868,565,,,,,
Elmos,Computer Engineering,2013,1248,1270,,,,,
Elmos,Physics,2013,535,490,,,,,
Elmos,Computer Science,2013,1542,1378,,,,,
Elmos,Materials Engineering,2013,796,846,,,,,
Elmos,Chemical Sciences,2013,34,77,,,,,
